nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id,przejazd_id,kategoria,okresB_id
MPM 36102/3 SUDETY,17.03,08:19,-1.0,-1.0,Katowice,Zabrze,"('Katowice', 'Zabrze')",2023-03-17 08:19:00,"('Katowice', 'Zabrze')",20.0,20.0,0.0,False,False,2023-03-17 07:59:00,2023-03-17 07:00:00,MPM 36102/3 SUDETY 2023-03-17 08:19:00,B,2023-03-17 06:00
MPM 36102/3 SUDETY,20.03,08:19,-1.0,-1.0,Katowice,Zabrze,"('Katowice', 'Zabrze')",2023-03-20 08:19:00,"('Katowice', 'Zabrze')",20.0,20.0,0.0,False,False,2023-03-20 07:59:00,2023-03-20 07:00:00,MPM 36102/3 SUDETY 2023-03-20 08:19:00,B,2023-03-20 06:00
MPM 36102/3 SUDETY,21.03,08:19,0.0,0.0,Katowice,Zabrze,"('Katowice', 'Zabrze')",2023-03-21 08:19:00,"('Katowice', 'Zabrze')",20.0,20.0,0.0,False,False,2023-03-21 07:59:00,2023-03-21 07:00:00,MPM 36102/3 SUDETY 2023-03-21 08:19:00,B,2023-03-21 06:00
MPM 36110/1 WETLINA,18.03,08:15,2.0,0.0,Dębica,Tarnów,"('Dębica', 'Tarnów')",2023-03-18 08:15:00,"('Dębica', 'Tarnów')",18.0,18.0,2.0,False,False,2023-03-18 07:59:00,2023-03-18 07:00:00,MPM 36110/1 WETLINA 2023-03-18 08:15:00,B,2023-03-18 06:00
MPM 36110/1 WETLINA,18.03,10:48,-2.0,17.0,Katowice,Zabrze,"('Katowice', 'Zabrze')",2023-03-18 10:48:00,"('Katowice', 'Zabrze')",20.0,20.0,-19.0,False,False,2023-03-18 10:09:00,2023-03-18 10:00:00,MPM 36110/1 WETLINA 2023-03-18 10:48:00,B,2023-03-18 10:00
MPM 36110/1 WETLINA,18.03,10:56,-1.0,1.0,Zabrze,Gliwice,"('Zabrze', 'Gliwice')",2023-03-18 10:56:00,"('Zabrze', 'Gliwice')",8.0,8.0,-2.0,False,False,2023-03-18 10:46:00,2023-03-18 10:00:00,MPM 36110/1 WETLINA 2023-03-18 10:56:00,B,2023-03-18 10:00
MPM 36110/1 WETLINA,19.03,08:15,1.0,0.0,Dębica,Tarnów,"('Dębica', 'Tarnów')",2023-03-19 08:15:00,"('Dębica', 'Tarnów')",18.0,18.0,1.0,False,False,2023-03-19 07:58:00,2023-03-19 07:00:00,MPM 36110/1 WETLINA 2023-03-19 08:15:00,B,2023-03-19 06:00
MPM 36110/1 WETLINA,19.03,10:48,-1.0,16.0,Katowice,Zabrze,"('Katowice', 'Zabrze')",2023-03-19 10:48:00,"('Katowice', 'Zabrze')",20.0,20.0,-17.0,False,False,2023-03-19 10:11:00,2023-03-19 10:00:00,MPM 36110/1 WETLINA 2023-03-19 10:48:00,B,2023-03-19 10:00
MPM 36110/1 WETLINA,19.03,10:56,0.0,1.0,Zabrze,Gliwice,"('Zabrze', 'Gliwice')",2023-03-19 10:56:00,"('Zabrze', 'Gliwice')",8.0,8.0,-1.0,False,False,2023-03-19 10:47:00,2023-03-19 10:00:00,MPM 36110/1 WETLINA 2023-03-19 10:56:00,B,2023-03-19 10:00
MPS 45102/3 FLISAK,17.03,08:59,0.0,0.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-17 08:59:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,0.0,False,False,2023-03-17 08:47:00,2023-03-17 08:00:00,MPS 45102/3 FLISAK 2023-03-17 08:59:00,B,2023-03-17 08:00
