wojewodztwo,data,beta,gamma,blad
łódzkie,20.03,0.654961287519569,0.5619859125545343,0.003409119691712433
łódzkie,21.03,0.00909526603044318,0.4442895683013449,0.002386322792399718
łódzkie,22.03,0.6672209367769906,0.2837154421541682,0.0028908228368895138
łódzkie,23.03,0.8500622839140448,0.3584463695896818,0.0024414218619926826
łódzkie,24.03,0.441887202911724,0.40590442274302924,0.0027866619886432347
śląskie,13.03,0.6733586641671184,0.3567311164964777,0.0016650554594032797
śląskie,14.03,0.8868171979697865,0.9267561448432018,0.0006768095567498742
śląskie,15.03,0.413442501687443,0.13644978202582134,0.0022647237481694766
śląskie,16.03,0.06328655381446073,0.5003990000645779,0.0018762677795182928
śląskie,17.03,0.28974261234600673,0.04416099852007277,0.007914090997518589
śląskie,18.03,0.28710525786312535,0.7780032972558951,0.00240898803562526
śląskie,19.03,0.8859366826867282,0.4695582303787219,0.0012507469914958278
śląskie,20.03,0.38690357572918044,0.7318041009238873,0.0010046790262406412
śląskie,21.03,0.42575397346198895,0.1249929478172444,0.0015110887585768772
śląskie,22.03,0.04221710556758154,0.6146906056959552,0.0010145023880131236
śląskie,23.03,0.015872800506601698,0.6642887689256517,0.0012131051493977415
śląskie,24.03,0.8251229652660993,0.5821398823469124,0.0021211696512066693
świętokrzyskie,13.03,0.09852598127282006,0.5234781466863403,0.019016389606254045
świętokrzyskie,14.03,0.5915270891051967,0.12879230419316606,0.01043216285101715
świętokrzyskie,15.03,0.0,1.0,0.01874395887936332
świętokrzyskie,16.03,0.0,1.0,0.015815255511823056
świętokrzyskie,17.03,0.3582664755138114,0.1980278104362306,0.005894696484560902
świętokrzyskie,18.03,0.8772476076018354,0.3475350497058046,0.004741838933688759
świętokrzyskie,19.03,0.5487622829663945,0.7121566203180419,0.008453570728703019
świętokrzyskie,20.03,0.4566926226260777,0.2899018221441708,0.006194765071666537
świętokrzyskie,21.03,0.738606937350099,0.4529341537220106,0.007755428628826052
świętokrzyskie,22.03,0.9302000561124608,0.7313555400977949,0.011120737200814544
świętokrzyskie,23.03,0.6311059350180459,1.0,0.007013101346014976
świętokrzyskie,24.03,0.7213614386724979,0.46544558831706156,0.009189284064004238
