nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id,warte_uwagi
EIE 3512/3 PIAST,18.03,20:05,99.0,0.0,Gdańsk Główny,Gdańsk Wrzeszcz,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-18 20:05:00,"('Gdańsk Główny', 'Gdańsk Wrzeszcz')",10.0,33.0,99.0,True,True,2023-03-18 21:34:00,2023-03-18 21:00,True
EIE 3512/3 PIAST,18.03,20:10,100.0,1.0,Gdańsk Wrzeszcz,Gdańsk Oliwa,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-18 20:10:00,"('Gdańsk Wrzeszcz', 'Gdańsk Oliwa')",7.0,33.0,99.0,True,True,2023-03-18 21:42:00,2023-03-18 21:00,True
EIE 3512/3 PIAST,18.03,20:15,99.0,-1.0,Gdańsk Oliwa,Sopot,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-18 20:15:00,"('Gdańsk Oliwa', 'Sopot')",6.0,33.0,100.0,True,True,2023-03-18 21:49:00,2023-03-18 21:00,True
EIE 3512/3 PIAST,18.03,20:25,98.0,-1.0,Sopot,Gdynia Główna,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-18 20:25:00,"('Sopot', 'Gdynia Główna')",10.0,33.0,99.0,True,True,2023-03-18 21:54:00,2023-03-18 21:00,True
EIE 3512/3 PIAST,19.03,15:21,13.0,0.0,Oborniki Śląskie,Żmigród,"('Oborniki Śląskie', 'Leszno')",2023-03-19 15:21:00,"('Oborniki Śląskie', 'Żmigród')",13.0,42.0,13.0,True,True,2023-03-19 15:21:00,2023-03-19 15:00,True
EIE 3512/3 PIAST,19.03,15:32,13.0,0.0,Żmigród,Rawicz,"('Oborniki Śląskie', 'Leszno')",2023-03-19 15:32:00,"('Żmigród', 'Rawicz')",11.0,42.0,13.0,True,True,2023-03-19 15:34:00,2023-03-19 15:00,True
EIE 3512/3 PIAST,19.03,15:50,13.0,0.0,Rawicz,Leszno,"('Oborniki Śląskie', 'Leszno')",2023-03-19 15:50:00,"('Rawicz', 'Leszno')",18.0,42.0,13.0,True,True,2023-03-19 15:45:00,2023-03-19 15:00,True
EIE 3512/3 PIAST,19.03,16:06,13.0,0.0,Leszno,Kościan,"('Leszno', 'Poznań Główny')",2023-03-19 16:06:00,"('Leszno', 'Kościan')",16.0,42.0,13.0,True,True,2023-03-19 16:03:00,2023-03-19 16:00,True
EIE 3512/3 PIAST,19.03,16:32,13.0,0.0,Kościan,Poznań Główny,"('Leszno', 'Poznań Główny')",2023-03-19 16:32:00,"('Kościan', 'Poznań Główny')",26.0,42.0,13.0,True,True,2023-03-19 16:19:00,2023-03-19 16:00,True
EIE 3512/3 PIAST,19.03,20:05,17.0,-1.0,Gdańsk Główny,Gdańsk Wrzeszcz,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-19 20:05:00,"('Gdańsk Główny', 'Gdańsk Wrzeszcz')",10.0,33.0,18.0,True,True,2023-03-19 20:13:00,2023-03-19 20:00,True
EIE 3512/3 PIAST,19.03,20:10,17.0,0.0,Gdańsk Wrzeszcz,Gdańsk Oliwa,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-19 20:10:00,"('Gdańsk Wrzeszcz', 'Gdańsk Oliwa')",7.0,33.0,17.0,True,True,2023-03-19 20:20:00,2023-03-19 20:00,True
EIE 3512/3 PIAST,19.03,20:15,16.0,-1.0,Gdańsk Oliwa,Sopot,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-19 20:15:00,"('Gdańsk Oliwa', 'Sopot')",6.0,33.0,17.0,True,True,2023-03-19 20:26:00,2023-03-19 20:00,True
EIE 3512/3 PIAST,19.03,20:25,16.0,0.0,Sopot,Gdynia Główna,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-19 20:25:00,"('Sopot', 'Gdynia Główna')",10.0,33.0,16.0,True,True,2023-03-19 20:31:00,2023-03-19 20:00,True
EIE 3512/3 PIAST,20.03,15:21,22.0,1.0,Oborniki Śląskie,Żmigród,"('Oborniki Śląskie', 'Leszno')",2023-03-20 15:21:00,"('Oborniki Śląskie', 'Żmigród')",13.0,42.0,21.0,True,True,2023-03-20 15:29:00,2023-03-20 15:00,True
