wojewodztwo,data,beta,gamma,blad
śląskie,17.03,0.8197193376499127,0.42467183750139414,0.08432061759793878
śląskie,18.03,0.642015666312552,0.633471546642654,0.09057051547393591
śląskie,19.03,0.9965929901328343,0.8714203623261239,0.01688660612073586
śląskie,20.03,0.734821093616537,0.3697027499345356,0.07723028592952748
śląskie,21.03,0.3104197927857616,0.8520689774490271,0.09338711518797896
śląskie,22.03,0.1291791963011566,0.26792008899206105,0.07863317335680885
śląskie,23.03,1.0,0.7356474467088892,0.008875487192026731
śląskie,24.03,0.7208738097428918,0.8533373856288776,0.07815293699553294
świętokrzyskie,13.03,0.37402628096991464,0.35062555564873427,0.03872984030434068
świętokrzyskie,14.03,0.7021486819762688,0.7087335557482827,0.01516316254802401
świętokrzyskie,15.03,0.9351155456514413,0.8495571868480664,0.03683563985447111
świętokrzyskie,16.03,0.25608478926829525,0.23031167689047566,0.034065270114838064
świętokrzyskie,17.03,0.7195453184557228,0.5518718272502652,0.12926575913195773
świętokrzyskie,18.03,0.38903976038158394,0.36936824875244134,0.14077427577876211
świętokrzyskie,19.03,0.5972049416089724,0.7442217167872611,0.11382297877998944
świętokrzyskie,20.03,0.7892005146430867,0.7112959026982798,0.01807102453293437
świętokrzyskie,21.03,0.47907950968732405,0.44642497711939044,0.040938618530957156
świętokrzyskie,22.03,1.0,0.9202689623521392,0.03165933682625674
świętokrzyskie,23.03,0.9639878834774127,0.8961225293929813,0.022657682480203598
świętokrzyskie,24.03,1.0,0.9639393506183827,0.03528776132384644
